merchant_id,merchant_name,category,industry,total_revenue,success_rate,refund_rate,chargeback_rate,retention_rate,total_transactions,avg_order_value,active_customers,merchant_health_score,risk_score,risk_level,merchant_status,created_at
M0157,Orbit Tech,Gaming & Entertainment,Gaming & Entertainment,112107.81,99.3,0.41,0.27,73.5,3131,35.81,1980,88.56,11.27,LOW,ACTIVE,2026-03-13
M0158,Apex Hub,D2C Retail,D2C Retail,5730124.9,92.55,2.66,0.51,48.15,26861,213.33,20394,66.33,37.53,MEDIUM,ACTIVE,2025-06-26
M0159,Vertex Prime,B2B Logistics,B2B Logistics,22835109.92,97.46,1.28,0.31,70.44,29374,777.39,19028,83.69,18.16,LOW,ACTIVE,2025-11-22
M0160,Core Cloud,FoodTech & QSR,FoodTech & QSR,1349736.79,89.03,3.5,0.54,48.82,9815,137.52,7419,60.71,45.82,MEDIUM,ACTIVE,2025-11-09
M0161,Horizon Tech,E-Commerce,E-Commerce,167290.44,97.5,0.64,0.19,73.95,911,183.63,574,86.18,14.02,LOW,ACTIVE,2026-01-01
M0162,Horizon Solutions,SaaS & Subscriptions,SaaS & Subscriptions,8723350.65,88.35,3.63,0.93,60.26,33765,258.35,23591,63.25,47.56,MEDIUM,ACTIVE,2025-08-24
M0163,Titan Direct,Fintech & Wealth,Fintech & Wealth,9488337.33,87.7,2.18,0.74,58.69,137,69257.94,96,64.09,42.33,MEDIUM,ACTIVE,2024-10-04
M0164,Flux Digital,EdTech,EdTech,2186138.2,97.46,0.8,0.35,68.3,159,13749.3,104,83.42,17.34,LOW,ACTIVE,2026-05-09
M0165,Vertex Platform,Health & Wellness,Health & Wellness,9233356.64,96.87,1.44,0.21,72.64,16245,568.38,10344,83.73,18.25,LOW,ACTIVE,2025-04-24
M0166,Vortex Labs,Travel & Hospitality,Travel & Hospitality,14374722.79,98.03,0.69,0.27,76.19,176,81674.56,108,87.52,13.48,LOW,ACTIVE,2025-07-14
M0167,Horizon Commerce,Gaming & Entertainment,Gaming & Entertainment,29908995.32,77.35,9.28,2.26,34.96,2901,10309.89,2393,28.66,100.0,HIGH,UNDER_REVIEW,2026-04-25
M0168,Hyper Labs,D2C Retail,D2C Retail,22701503.78,98.25,1.65,0.3,86.46,19586,1159.07,11118,90.43,14.19,LOW,ACTIVE,2025-01-26
M0169,Horizon Labs,B2B Logistics,B2B Logistics,471896.19,89.87,2.7,1.39,66.71,127,3715.72,84,68.08,44.09,MEDIUM,ACTIVE,2026-01-14
M0170,Quantum Dynamics,FoodTech & QSR,FoodTech & QSR,8022804.81,93.31,2.59,1.01,66.06,123,65226.06,82,73.32,35.66,MEDIUM,ACTIVE,2026-06-06
M0171,Hyper Mart,E-Commerce,E-Commerce,7626343.84,95.72,1.86,0.44,94.27,1904,4005.43,1006,89.5,17.88,LOW,ACTIVE,2025-10-27
M0172,Nova Network,SaaS & Subscriptions,SaaS & Subscriptions,21214229.24,92.67,2.96,1.25,45.85,4067,5216.19,3134,63.72,44.89,MEDIUM,ACTIVE,2025-07-07
M0173,Flux Dynamics,Fintech & Wealth,Fintech & Wealth,417625.45,94.7,0.34,0.32,75.54,9039,46.2,5624,83.2,17.81,LOW,ACTIVE,2024-09-07
M0174,Zenith Pay,EdTech,EdTech,150104.88,95.83,1.17,0.36,74.88,4889,30.7,3058,83.27,19.51,LOW,ACTIVE,2024-11-16
M0175,Echo Commerce,Health & Wellness,Health & Wellness,24616560.22,90.87,2.73,0.52,65.01,114,215934.74,76,70.46,36.16,MEDIUM,ACTIVE,2024-11-18
M0176,Swift Dynamics,Travel & Hospitality,Travel & Hospitality,22950575.35,90.18,4.64,1.22,67.95,884,25962.19,583,66.72,48.74,MEDIUM,ACTIVE,2026-06-18
M0177,Core Network,Gaming & Entertainment,Gaming & Entertainment,11765711.08,96.33,1.06,0.29,92.08,45290,259.79,24438,90.84,13.52,LOW,ACTIVE,2026-05-15
M0178,Core Mart,D2C Retail,D2C Retail,11845322.77,72.92,11.44,4.4,27.39,198,59824.86,170,12.68,100.0,CRITICAL,RESTRICTED,2026-01-17
M0179,Flux Ventures,B2B Logistics,B2B Logistics,905971.56,88.27,2.9,0.71,45.97,111,8161.91,85,59.06,46.93,MEDIUM,ACTIVE,2024-12-04
M0180,Optima Digital,FoodTech & QSR,FoodTech & QSR,46326885.33,80.23,6.73,2.66,35.49,36636,1264.52,30134,35.3,90.62,HIGH,UNDER_REVIEW,2024-09-09
M0181,Velocity Network,E-Commerce,E-Commerce,13253226.1,94.52,0.95,0.4,94.29,1826,7258.06,965,89.2,16.17,LOW,ACTIVE,2025-01-02
M0182,Velocity Mart,SaaS & Subscriptions,SaaS & Subscriptions,4524586.96,94.97,1.98,0.12,94.22,5667,798.41,2997,88.96,16.88,LOW,ACTIVE,2025-12-18
M0183,Vortex Ventures,Fintech & Wealth,Fintech & Wealth,4367806.4,96.97,0.62,0.1,71.84,318,13735.24,203,84.87,14.55,LOW,ACTIVE,2025-03-25
M0184,Titan Digital,EdTech,EdTech,12707938.66,88.77,2.26,1.37,65.33,31913,398.21,21488,66.71,44.38,MEDIUM,ACTIVE,2025-12-27
M0185,Horizon Network,Health & Wellness,Health & Wellness,48442480.2,95.01,0.91,0.35,86.58,260,186317.23,147,87.04,16.82,LOW,ACTIVE,2025-08-22
M0186,Vertex Commerce,Travel & Hospitality,Travel & Hospitality,15918756.25,95.3,0.6,0.25,83.38,3678,4328.1,2144,86.81,15.31,LOW,ACTIVE,2025-09-21
M0187,Orbit Solutions,Gaming & Entertainment,Gaming & Entertainment,176571.35,92.93,2.82,0.62,65.44,37955,4.65,25536,73.05,34.07,MEDIUM,ACTIVE,2026-07-13
M0188,Beacon Cart,D2C Retail,D2C Retail,21225433.99,98.7,1.38,0.26,67.7,1265,16779.0,836,84.25,16.93,LOW,ACTIVE,2025-12-24
M0189,Apex Cart,B2B Logistics,B2B Logistics,1013619.9,88.05,4.05,0.95,46.86,392,2585.77,300,57.1,52.98,MEDIUM,ACTIVE,2026-01-15
M0190,Beacon Solutions,FoodTech & QSR,FoodTech & QSR,6983850.09,76.75,8.83,2.34,39.69,3970,1759.16,3182,30.12,99.58,HIGH,UNDER_REVIEW,2026-03-30
M0191,Hyper Cart,E-Commerce,E-Commerce,16818574.77,79.44,8.05,2.46,36.27,23517,715.17,19252,33.19,94.63,HIGH,UNDER_REVIEW,2025-03-25
M0192,Aero Mart,SaaS & Subscriptions,SaaS & Subscriptions,14198056.92,91.2,4.4,1.28,61.29,18158,781.92,12593,65.72,48.52,MEDIUM,ACTIVE,2025-11-22
M0193,Forge Works,Fintech & Wealth,Fintech & Wealth,7628770.57,97.94,1.31,0.34,69.92,23847,319.9,15510,84.03,17.92,LOW,ACTIVE,2024-11-17
M0194,Flux Hub,EdTech,EdTech,22546520.56,94.17,1.69,0.08,75.39,10155,2220.24,6327,81.12,21.45,LOW,ACTIVE,2025-12-31
M0195,Flux Solutions,Health & Wellness,Health & Wellness,271572.72,84.1,8.74,2.36,32.1,595,456.42,499,37.08,90.3,HIGH,UNDER_REVIEW,2025-06-17
M0196,Nexus Pay,Travel & Hospitality,Travel & Hospitality,4624526.24,99.69,1.34,0.13,84.65,2866,1613.58,1652,92.41,10.03,LOW,ACTIVE,2025-11-25
M0197,Scale Cloud,Gaming & Entertainment,Gaming & Entertainment,12728561.63,77.06,8.42,2.42,47.41,836,15225.55,637,33.89,96.39,HIGH,UNDER_REVIEW,2025-01-09
M0198,Aero Store,D2C Retail,D2C Retail,5098324.96,93.36,2.38,1.34,60.82,152,33541.61,105,70.99,38.8,MEDIUM,ACTIVE,2025-09-02
M0199,Hyper Tech,B2B Logistics,B2B Logistics,649070.15,91.59,2.28,1.02,52.96,4740,136.93,3484,66.38,40.51,MEDIUM,ACTIVE,2025-10-12
M0200,Titan Platform,FoodTech & QSR,FoodTech & QSR,132879.01,76.1,14.65,4.84,32.5,224,593.21,187,13.73,100.0,CRITICAL,RESTRICTED,2025-07-04
M0201,Aero Digital,E-Commerce,E-Commerce,11130883.09,94.14,0.24,0.16,80.15,12003,927.34,7192,84.68,15.87,LOW,ACTIVE,2025-04-07
M0202,Echo Pay,SaaS & Subscriptions,SaaS & Subscriptions,6985439.34,96.59,0.69,0.45,78.21,1653,4225.92,1006,86.02,16.58,LOW,ACTIVE,2025-01-28
M0203,Pulse Dynamics,Fintech & Wealth,Fintech & Wealth,276449.49,83.87,8.12,1.88,33.32,6865,40.27,5721,39.03,84.33,HIGH,UNDER_REVIEW,2024-10-02
M0204,Aura Prime,EdTech,EdTech,5841254.58,88.16,4.67,0.64,54.94,35220,165.85,25545,60.15,50.49,MEDIUM,ACTIVE,2025-07-26
M0205,Pulse Wave,Health & Wellness,Health & Wellness,1357786.35,97.7,0.92,0.14,95.5,1272,1067.44,664,94.47,8.91,LOW,ACTIVE,2025-09-16
M0206,Lumina Ventures,Travel & Hospitality,Travel & Hospitality,25890887.14,71.61,10.24,3.06,31.52,987,26231.9,831,16.8,100.0,CRITICAL,RESTRICTED,2025-11-03
M0207,Lumina Wave,Gaming & Entertainment,Gaming & Entertainment,21521720.62,96.74,1.94,0.1,91.93,12474,1725.33,6740,90.53,14.5,LOW,ACTIVE,2025-07-25
M0208,Aero Prime,D2C Retail,D2C Retail,12041897.73,98.9,1.57,0.29,69.07,122,98704.08,79,84.73,17.2,LOW,ACTIVE,2025-02-18
M0209,Zenith Network,B2B Logistics,B2B Logistics,30573187.5,97.58,1.63,0.23,68.64,217,140890.26,142,82.85,19.02,LOW,ACTIVE,2025-03-06
M0210,Apex Platform,FoodTech & QSR,FoodTech & QSR,7084678.49,96.5,0.56,0.23,66.99,3721,1903.97,2474,82.2,17.3,LOW,ACTIVE,2025-04-07
M0211,Sync Direct,E-Commerce,E-Commerce,532114.54,98.63,0.76,0.22,65.36,156,3410.99,105,84.17,15.14,LOW,ACTIVE,2026-04-19
M0212,Stellar Direct,SaaS & Subscriptions,SaaS & Subscriptions,1146379.3,80.75,7.7,2.0,43.12,20962,54.69,16442,38.96,86.05,HIGH,UNDER_REVIEW,2025-04-04
M0213,Scale Network,Fintech & Wealth,Fintech & Wealth,12729004.11,76.39,7.16,1.68,35.87,46022,276.59,37767,31.72,89.95,HIGH,UNDER_REVIEW,2025-09-04
M0214,Echo Systems,EdTech,EdTech,242432.7,96.89,1.31,0.32,82.35,106,2287.1,62,87.45,16.22,LOW,ACTIVE,2026-01-01
M0215,Core Commerce,Health & Wellness,Health & Wellness,760517.62,97.0,0.36,0.17,66.03,162,4694.55,108,82.88,15.61,LOW,ACTIVE,2025-07-14
M0216,Quantum Network,Travel & Hospitality,Travel & Hospitality,1178376.35,94.77,1.22,0.32,89.82,346,3405.71,190,87.61,17.22,LOW,ACTIVE,2025-09-11
M0217,Scale Systems,Gaming & Entertainment,Gaming & Entertainment,283159.06,86.83,3.82,1.14,45.73,33636,8.42,25945,54.96,55.81,MEDIUM,ACTIVE,2025-05-31
M0218,Scale Cart,D2C Retail,D2C Retail,138123.93,90.28,4.01,1.28,61.42,14582,9.47,10103,65.06,48.5,MEDIUM,ACTIVE,2026-06-12
M0219,Vortex Systems,B2B Logistics,B2B Logistics,824452.97,98.73,0.34,0.4,81.98,16064,51.32,9479,90.89,10.8,LOW,ACTIVE,2024-12-29
M0220,Vortex Direct,FoodTech & QSR,FoodTech & QSR,1662621.84,91.08,3.52,1.16,46.88,145,11466.36,111,61.43,48.26,MEDIUM,ACTIVE,2025-12-14
M0221,Beacon Prime,E-Commerce,E-Commerce,464434.23,94.93,1.77,0.11,95.25,811,572.67,424,89.6,15.87,LOW,ACTIVE,2026-03-01
M0222,Omni Hub,SaaS & Subscriptions,SaaS & Subscriptions,310120.73,98.58,1.39,0.23,82.22,8731,35.52,5141,89.72,13.28,LOW,ACTIVE,2026-07-12
M0223,Omni Cloud,Fintech & Wealth,Fintech & Wealth,413611.39,99.78,1.95,0.3,71.19,6853,60.35,4413,86.2,16.76,LOW,ACTIVE,2025-11-03
M0224,Scale Tech,EdTech,EdTech,156625.09,70.21,10.49,3.88,33.68,9175,17.07,7629,13.79,100.0,CRITICAL,RESTRICTED,2025-01-08
M0225,Vortex Platform,Health & Wellness,Health & Wellness,10105146.7,80.21,6.56,2.13,47.8,128,78946.46,97,41.3,82.73,HIGH,UNDER_REVIEW,2024-12-07
M0226,Scale Wave,Travel & Hospitality,Travel & Hospitality,21882251.28,97.36,0.99,0.33,80.09,22768,961.1,13650,87.61,15.04,LOW,ACTIVE,2024-12-12
M0227,Echo Tech,Gaming & Entertainment,Gaming & Entertainment,26975364.01,96.45,0.7,0.27,93.28,370,72906.39,197,91.98,11.61,LOW,ACTIVE,2025-05-27
M0228,Velocity Pay,D2C Retail,D2C Retail,4801402.59,90.99,4.08,0.62,61.46,28408,169.02,19678,67.25,42.39,MEDIUM,ACTIVE,2025-09-29
M0229,Prism Wave,B2B Logistics,B2B Logistics,305463.5,95.38,1.95,0.1,91.49,2131,143.34,1156,88.54,16.68,LOW,ACTIVE,2026-02-22
M0230,Forge Tech,FoodTech & QSR,FoodTech & QSR,464803.35,99.05,1.0,0.24,76.14,3984,116.67,2467,88.51,12.81,LOW,ACTIVE,2026-01-09
M0231,Omni Network,E-Commerce,E-Commerce,276277.82,89.09,4.72,0.73,60.1,754,366.42,527,63.12,48.7,MEDIUM,ACTIVE,2025-08-25
M0232,Prism Systems,SaaS & Subscriptions,SaaS & Subscriptions,12234346.19,87.03,4.72,0.91,50.43,157,77925.77,117,56.3,55.65,MEDIUM,ACTIVE,2025-12-05
M0233,Swift Pay,Fintech & Wealth,Fintech & Wealth,287191.44,97.01,0.81,0.38,78.36,469,612.35,285,86.62,15.77,LOW,ACTIVE,2025-07-05
M0234,Catalyst Network,EdTech,EdTech,4630797.68,91.58,2.55,0.65,45.84,9716,476.62,7489,64.01,40.3,MEDIUM,ACTIVE,2024-12-22
M0235,Nexus Cart,Health & Wellness,Health & Wellness,6188544.37,96.75,1.72,0.37,83.15,22051,280.65,12883,86.92,18.07,LOW,ACTIVE,2025-11-19
M0236,Beacon Platform,Travel & Hospitality,Travel & Hospitality,359384.42,77.11,6.21,1.6,40.5,33718,10.66,26890,35.88,83.75,HIGH,UNDER_REVIEW,2025-03-04
M0237,Omni Mart,Gaming & Entertainment,Gaming & Entertainment,127698.86,94.71,1.01,0.42,74.8,2338,54.62,1463,81.84,21.13,LOW,ACTIVE,2025-01-11
M0238,Orbit Labs,D2C Retail,D2C Retail,129480.36,87.17,4.76,1.37,45.11,37060,3.49,28701,53.46,60.59,MEDIUM,ACTIVE,2024-09-26
M0239,Beacon Hub,B2B Logistics,B2B Logistics,5308423.23,84.59,7.05,2.38,39.82,6307,841.67,5051,42.92,81.87,HIGH,UNDER_REVIEW,2025-08-17
M0240,Scale Platform,FoodTech & QSR,FoodTech & QSR,238185.08,76.3,6.39,2.7,35.23,6570,36.25,5412,30.34,95.71,HIGH,UNDER_REVIEW,2025-11-07
M0241,Core Wave,E-Commerce,E-Commerce,41472815.46,86.74,3.92,0.9,64.97,300,138242.72,202,62.59,49.57,MEDIUM,ACTIVE,2025-03-15
M0242,Echo Hub,SaaS & Subscriptions,SaaS & Subscriptions,7402470.23,75.87,14.48,4.3,29.97,4651,1591.59,3954,13.75,100.0,CRITICAL,RESTRICTED,2024-10-09
M0243,Lumina Digital,Fintech & Wealth,Fintech & Wealth,22138515.19,90.51,2.18,1.34,60.86,6697,3305.74,4659,67.48,42.37,MEDIUM,ACTIVE,2025-03-13
M0244,Omni Cart,EdTech,EdTech,382032.9,91.21,3.16,1.09,47.45,5963,64.07,4548,62.44,46.1,MEDIUM,ACTIVE,2025-04-13
M0245,Omni Dynamics,Health & Wellness,Health & Wellness,49818158.24,94.28,1.96,0.19,91.99,12931,3852.61,6983,87.07,18.96,LOW,ACTIVE,2026-02-06
M0246,Catalyst Solutions,Travel & Hospitality,Travel & Hospitality,3391250.57,98.28,1.78,0.19,75.14,6335,535.32,3954,86.16,16.54,LOW,ACTIVE,2025-08-02
M0247,Catalyst Platform,Gaming & Entertainment,Gaming & Entertainment,15147883.82,75.34,13.63,3.83,33.18,211,71790.92,175,16.36,100.0,CRITICAL,RESTRICTED,2026-02-05
M0248,Prism Solutions,D2C Retail,D2C Retail,2948219.02,86.05,2.98,0.83,54.11,7534,391.32,5495,58.89,49.47,MEDIUM,ACTIVE,2026-03-07
M0249,Nova Direct,B2B Logistics,B2B Logistics,1118682.03,96.6,0.63,0.18,72.05,157,7125.36,100,84.29,15.73,LOW,ACTIVE,2025-01-15
M0250,Echo Store,FoodTech & QSR,FoodTech & QSR,4252943.89,97.88,1.32,0.22,76.77,21385,198.88,13176,86.81,15.37,LOW,ACTIVE,2025-03-15
M0251,Horizon Digital,E-Commerce,E-Commerce,2517596.74,96.78,0.25,0.17,76.79,1192,2112.08,734,86.88,12.87,LOW,ACTIVE,2026-01-21
M0252,Nova Commerce,SaaS & Subscriptions,SaaS & Subscriptions,3680169.5,97.09,1.29,0.35,90.2,8673,424.32,4761,90.7,14.13,LOW,ACTIVE,2025-01-19
M0253,Elevate Cloud,Fintech & Wealth,Fintech & Wealth,37925367.15,94.11,0.55,0.02,85.07,26531,1429.47,15246,86.4,14.65,LOW,ACTIVE,2024-10-09
M0254,Lumina Store,EdTech,EdTech,454099.91,85.18,5.27,3.09,37.63,187,2428.34,151,43.81,80.99,HIGH,UNDER_REVIEW,2026-05-29
M0255,Core Hub,Health & Wellness,Health & Wellness,2048110.12,95.49,0.71,0.15,89.89,2852,718.13,1570,89.62,12.98,LOW,ACTIVE,2025-02-07
M0256,Elevate Pay,Travel & Hospitality,Travel & Hospitality,692165.81,97.54,1.49,0.14,77.82,213,3249.6,130,86.69,15.57,LOW,ACTIVE,2026-06-24
M0257,Forge Prime,Gaming & Entertainment,Gaming & Entertainment,308259.64,91.38,2.59,0.97,61.31,194,1588.97,134,69.0,39.43,MEDIUM,ACTIVE,2026-05-13
M0258,Aero Works,D2C Retail,D2C Retail,3397493.73,88.03,4.7,0.94,63.54,3055,1112.11,2084,62.64,51.04,MEDIUM,ACTIVE,2024-09-12
M0259,Apex Ventures,B2B Logistics,B2B Logistics,130969.18,97.67,1.91,0.28,90.39,24347,5.38,13343,90.86,14.82,LOW,ACTIVE,2026-06-09
M0260,Forge Network,FoodTech & QSR,FoodTech & QSR,412648.68,87.68,3.75,0.87,64.32,26861,15.36,18222,63.88,47.48,MEDIUM,ACTIVE,2026-07-22
M0261,Core Digital,E-Commerce,E-Commerce,899236.03,87.87,4.21,0.75,63.92,1392,646.0,947,63.61,47.95,MEDIUM,ACTIVE,2025-06-01
M0262,Beacon Wave,SaaS & Subscriptions,SaaS & Subscriptions,6334278.51,94.55,1.32,0.21,83.18,284,22303.8,165,84.85,18.68,LOW,ACTIVE,2026-03-10
M0263,Hyper Network,Fintech & Wealth,Fintech & Wealth,9745410.44,99.0,0.59,0.06,65.73,5403,1803.7,3627,85.35,12.61,LOW,ACTIVE,2024-10-21
M0264,Sync Cart,EdTech,EdTech,4350394.02,73.83,10.35,3.74,30.94,2191,1985.57,1852,18.03,100.0,CRITICAL,RESTRICTED,2025-12-04
M0265,Orbit Commerce,Health & Wellness,Health & Wellness,46345064.38,94.79,1.45,0.19,78.27,8645,5360.91,5261,83.15,19.84,LOW,ACTIVE,2026-05-20
M0266,Vertex Digital,Travel & Hospitality,Travel & Hospitality,7393743.88,99.75,0.43,0.06,87.45,3639,2031.81,2047,94.92,5.5,LOW,ACTIVE,2026-02-24
M0267,Optima Prime,Gaming & Entertainment,Gaming & Entertainment,549479.4,94.46,0.35,0.4,70.95,746,736.57,481,80.94,20.0,LOW,ACTIVE,2026-07-19
M0268,Scale Pay,D2C Retail,D2C Retail,409014.62,96.06,0.32,0.24,67.1,14458,28.29,9607,81.96,17.17,LOW,ACTIVE,2025-12-17
M0269,Velocity Hub,B2B Logistics,B2B Logistics,427348.22,90.27,4.48,1.09,57.26,750,569.8,535,63.2,49.68,MEDIUM,ACTIVE,2025-02-26
M0270,Hyper Systems,FoodTech & QSR,FoodTech & QSR,792067.47,97.88,1.99,0.3,82.29,9375,84.49,5517,87.88,16.97,LOW,ACTIVE,2025-04-18
M0271,Echo Cloud,E-Commerce,E-Commerce,1801258.29,76.6,7.53,3.13,34.8,7282,247.36,6014,28.19,100.0,HIGH,UNDER_REVIEW,2025-07-11
M0272,Zenith Ventures,SaaS & Subscriptions,SaaS & Subscriptions,348589.26,97.11,0.37,0.21,88.44,867,402.06,483,91.56,10.2,LOW,ACTIVE,2026-05-28
M0273,Catalyst Mart,Fintech & Wealth,Fintech & Wealth,6231273.3,92.28,4.6,0.71,54.18,257,24246.2,187,65.3,44.81,MEDIUM,ACTIVE,2024-11-03
M0274,Catalyst Pay,EdTech,EdTech,47718106.5,99.38,1.17,0.38,81.15,4819,9902.08,2863,90.37,12.78,LOW,ACTIVE,2024-10-13
M0275,Prism Labs,Health & Wellness,Health & Wellness,173997.96,91.97,2.44,1.24,62.99,8182,21.27,5605,70.09,39.76,MEDIUM,ACTIVE,2024-09-14
M0276,Catalyst Ventures,Travel & Hospitality,Travel & Hospitality,125197.54,88.39,2.81,0.82,47.02,33792,3.7,25847,59.53,47.05,MEDIUM,ACTIVE,2024-11-04
M0277,Aura Wave,Gaming & Entertainment,Gaming & Entertainment,3123889.3,95.77,0.91,0.21,83.62,2464,1267.81,1433,87.2,15.31,LOW,ACTIVE,2025-03-21
M0278,Vertex Labs,D2C Retail,D2C Retail,30297818.38,89.93,4.78,1.27,49.8,32482,932.76,24393,59.12,54.54,MEDIUM,ACTIVE,2024-09-21
M0279,Optima Pay,B2B Logistics,B2B Logistics,206095.93,98.74,0.89,0.4,91.91,14968,13.77,8089,93.99,10.23,LOW,ACTIVE,2025-03-16
M0280,Orbit Direct,FoodTech & QSR,FoodTech & QSR,13560273.53,95.77,0.35,0.19,70.38,7510,1805.63,4867,82.89,16.5,LOW,ACTIVE,2026-07-12
M0281,Optima Systems,E-Commerce,E-Commerce,859236.62,85.66,7.88,2.9,34.12,21210,40.51,17591,40.0,88.76,HIGH,UNDER_REVIEW,2026-07-22
M0282,Aero Cloud,SaaS & Subscriptions,SaaS & Subscriptions,30938124.19,96.82,1.29,0.35,70.42,2272,13617.13,1472,82.73,19.48,LOW,ACTIVE,2025-01-30
M0283,Elevate Solutions,Fintech & Wealth,Fintech & Wealth,1191185.93,94.85,0.86,0.05,65.8,231,5156.65,155,79.5,19.69,LOW,ACTIVE,2025-01-10
M0284,Swift Store,EdTech,EdTech,39757475.22,97.19,1.94,0.21,74.67,2323,17114.71,1455,84.27,19.02,LOW,ACTIVE,2025-06-02
M0285,Apex Network,Health & Wellness,Health & Wellness,1535425.91,94.61,1.35,0.11,84.21,5686,270.04,3291,85.49,17.64,LOW,ACTIVE,2026-07-16
M0286,Flux Works,Travel & Hospitality,Travel & Hospitality,257223.43,76.61,8.51,2.28,32.93,48429,5.31,40455,27.88,99.88,HIGH,UNDER_REVIEW,2026-07-11
M0287,Titan Hub,Gaming & Entertainment,Gaming & Entertainment,143201.64,98.03,1.97,0.12,69.41,212,675.48,138,83.51,18.46,LOW,ACTIVE,2025-02-01
M0288,Elevate Commerce,D2C Retail,D2C Retail,658461.71,94.59,1.45,0.05,80.79,48984,13.44,29196,84.13,18.39,LOW,ACTIVE,2025-10-20
M0289,Sync Platform,B2B Logistics,B2B Logistics,15735528.79,74.31,10.78,4.19,30.27,1412,11144.14,1198,16.94,100.0,CRITICAL,RESTRICTED,2025-01-26
M0290,Catalyst Works,FoodTech & QSR,FoodTech & QSR,225311.51,99.14,1.01,0.1,76.4,1311,171.86,810,89.0,11.52,LOW,ACTIVE,2025-10-08
M0291,Flux Prime,E-Commerce,E-Commerce,17119850.1,98.25,1.58,0.02,77.9,1991,8598.62,1215,87.79,13.84,LOW,ACTIVE,2026-07-11
M0292,Hyper Store,SaaS & Subscriptions,SaaS & Subscriptions,112667.69,88.05,4.15,0.62,57.31,380,296.49,271,61.64,48.08,MEDIUM,ACTIVE,2025-03-01
M0293,Forge Solutions,Fintech & Wealth,Fintech & Wealth,107823.55,87.91,4.73,1.22,67.07,2073,52.01,1377,63.24,52.68,MEDIUM,ACTIVE,2024-09-06
M0294,Nexus Hub,EdTech,EdTech,197776.51,90.33,3.33,1.26,47.26,2078,95.18,1586,60.63,49.43,MEDIUM,ACTIVE,2025-05-14
M0295,Optima Wave,Health & Wellness,Health & Wellness,254083.72,95.88,1.53,0.22,76.65,1160,219.04,715,83.82,19.13,LOW,ACTIVE,2026-01-26
M0296,Prism Store,Travel & Hospitality,Travel & Hospitality,1737933.07,98.55,1.81,0.43,89.39,710,2447.79,392,91.48,14.6,LOW,ACTIVE,2026-04-10
M0297,Aura Works,Gaming & Entertainment,Gaming & Entertainment,7198714.18,80.33,6.15,2.93,32.61,27153,265.12,22725,34.56,91.32,HIGH,UNDER_REVIEW,2026-04-21
M0298,Quantum Ventures,D2C Retail,D2C Retail,1760004.73,91.03,3.88,1.31,59.64,4539,387.75,3185,65.49,47.61,MEDIUM,ACTIVE,2025-02-07
M0299,Beacon Dynamics,B2B Logistics,B2B Logistics,151318.44,81.13,5.68,2.75,40.2,6853,22.08,5475,39.54,85.14,HIGH,UNDER_REVIEW,2026-02-26
M0300,Horizon Wave,FoodTech & QSR,FoodTech & QSR,129560.89,94.49,1.49,0.05,67.21,107,1210.85,71,78.72,22.08,LOW,ACTIVE,2025-11-24
M0301,Elevate Dynamics,E-Commerce,E-Commerce,38156504.57,98.28,0.84,0.15,75.84,12324,3096.11,7650,87.76,12.76,LOW,ACTIVE,2026-01-13
M0302,Stellar Cloud,SaaS & Subscriptions,SaaS & Subscriptions,6095641.84,87.46,2.57,0.59,60.19,11561,527.26,8081,64.13,42.48,MEDIUM,ACTIVE,2024-11-01
M0303,Sync Network,Fintech & Wealth,Fintech & Wealth,519221.13,86.17,2.32,1.37,51.8,11915,43.58,8829,57.96,51.88,MEDIUM,ACTIVE,2025-02-04
M0304,Prism Digital,EdTech,EdTech,4852306.61,89.02,2.66,0.61,59.15,12322,393.79,8677,65.65,40.87,MEDIUM,ACTIVE,2025-11-12
M0305,Elevate Works,Health & Wellness,Health & Wellness,5468626.54,97.08,0.28,0.44,89.76,617,8863.25,340,91.68,11.44,LOW,ACTIVE,2025-07-31
M0306,Swift Works,Travel & Hospitality,Travel & Hospitality,44147948.18,90.75,3.67,1.17,63.67,5913,7466.25,4030,67.23,45.16,MEDIUM,ACTIVE,2025-10-28
M0307,Nexus Systems,Gaming & Entertainment,Gaming & Entertainment,221680.03,95.96,1.87,0.12,76.54,1466,151.21,904,83.63,19.43,LOW,ACTIVE,2025-06-17
M0308,Vortex Prime,D2C Retail,D2C Retail,1534408.12,90.84,4.65,0.72,47.79,341,4499.73,259,60.84,48.83,MEDIUM,ACTIVE,2026-05-09
M0309,Titan Works,B2B Logistics,B2B Logistics,24761884.97,97.75,0.71,0.37,91.7,19262,1285.53,10430,92.89,10.89,LOW,ACTIVE,2025-07-11
M0310,Echo Ventures,FoodTech & QSR,FoodTech & QSR,30210307.82,95.46,1.56,0.22,91.1,9250,3265.98,5036,88.77,16.26,LOW,ACTIVE,2025-06-08
M0311,Elevate Hub,E-Commerce,E-Commerce,12462591.73,82.5,5.8,2.43,47.75,33883,367.81,25793,44.75,79.05,HIGH,UNDER_REVIEW,2025-04-14
M0312,Hyper Direct,SaaS & Subscriptions,SaaS & Subscriptions,130774.97,87.3,2.46,1.15,63.81,376,347.81,256,64.34,45.91,MEDIUM,ACTIVE,2024-12-27
M0313,Hyper Solutions,Fintech & Wealth,Fintech & Wealth,2318895.86,98.88,1.52,0.25,83.3,2355,984.67,1374,90.33,13.18,LOW,ACTIVE,2025-11-21
