merchant_id,risk_score,risk_level,failure_risk_score,dispute_risk_score,volatility_risk_score,churn_risk_score,underwriting_decision,monitoring_priority,primary_risk_flag
M0207,14.5,LOW,9.78,9.93,16.29,7.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0208,17.2,LOW,3.3,10.54,32.88,37.47,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0209,19.02,LOW,7.26,10.09,34.1,35.93,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0210,17.3,LOW,10.5,5.28,38.76,33.59,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0211,15.14,LOW,4.11,6.06,39.42,31.75,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0212,86.05,HIGH,57.75,58.65,57.25,59.81,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0213,89.95,HIGH,70.83,52.38,57.53,62.16,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0214,16.22,LOW,9.33,9.73,19.48,24.54,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0215,15.61,LOW,9.0,3.66,37.11,34.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0216,17.22,LOW,15.69,9.33,19.16,19.01,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0217,55.81,MEDIUM,39.51,30.87,50.75,56.62,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0218,48.5,MEDIUM,29.16,33.41,37.24,43.24,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0219,10.8,LOW,3.81,6.33,28.26,24.02,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0220,48.26,MEDIUM,26.76,29.76,47.68,49.35,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0221,15.87,LOW,15.21,9.29,15.93,9.62,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0222,13.28,LOW,4.26,9.02,20.88,21.45,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0223,16.76,LOW,0.66,12.38,29.14,34.66,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0224,100.0,CRITICAL,89.37,93.77,65.26,62.68,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0225,82.73,HIGH,59.37,55.08,56.09,55.16,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0226,15.04,LOW,7.92,8.41,25.19,27.5,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0227,11.61,LOW,10.65,6.39,17.79,7.22,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0228,42.39,MEDIUM,27.03,25.8,45.24,41.33,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0229,16.68,LOW,13.86,9.98,12.05,10.38,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0230,12.81,LOW,2.85,7.38,28.81,24.47,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0231,48.7,MEDIUM,32.73,30.0,46.4,43.83,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0232,55.65,MEDIUM,38.91,32.16,46.09,52.64,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0233,15.77,LOW,8.97,8.21,29.73,27.15,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0234,40.3,MEDIUM,25.26,19.27,55.04,52.01,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0235,18.07,LOW,9.75,12.18,18.63,16.36,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0236,83.75,HIGH,68.67,47.15,60.83,55.97,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0237,21.13,LOW,15.87,9.59,25.94,29.8,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0238,60.59,MEDIUM,38.49,37.86,55.75,56.18,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0239,81.87,HIGH,46.23,60.28,61.87,61.06,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0240,95.71,HIGH,71.1,61.16,63.84,62.32,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0241,49.57,MEDIUM,39.78,28.44,41.96,39.72,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0242,100.0,CRITICAL,72.39,100.0,70.58,66.04,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0243,42.37,MEDIUM,28.47,25.89,40.33,43.62,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0244,46.1,MEDIUM,26.37,27.3,50.69,50.82,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0245,18.96,LOW,17.16,11.1,18.9,10.8,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0246,16.54,LOW,5.16,10.29,33.2,22.96,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0247,100.0,CRITICAL,73.98,100.0,64.12,66.41,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0248,49.47,MEDIUM,41.85,23.37,47.89,41.75,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0249,15.73,LOW,10.2,5.0,29.57,29.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0250,15.37,LOW,6.36,8.58,25.69,23.68,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0251,12.87,LOW,9.66,3.17,31.94,30.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0252,14.13,LOW,8.73,10.0,22.0,10.31,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0253,14.65,LOW,17.67,2.71,21.54,16.13,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0254,80.99,HIGH,44.46,60.79,55.85,63.85,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0255,12.98,LOW,13.53,4.99,14.87,10.43,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0256,15.57,LOW,7.38,8.38,29.42,22.52,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0257,39.43,MEDIUM,25.86,23.3,39.45,38.18,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0258,51.04,MEDIUM,35.91,32.43,39.14,40.27,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0259,14.82,LOW,6.99,11.95,18.07,13.25,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0260,47.48,MEDIUM,36.96,27.31,36.8,40.36,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0261,47.95,MEDIUM,36.39,27.95,36.19,39.35,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0262,18.68,LOW,16.35,8.46,21.3,17.15,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0263,12.61,LOW,3.0,3.38,40.04,37.35,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0264,100.0,CRITICAL,78.51,91.45,69.89,66.03,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0265,19.84,LOW,15.63,8.8,22.68,29.49,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0266,5.5,LOW,0.75,2.66,17.26,16.86,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0267,20.0,LOW,16.62,6.38,33.43,29.68,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0268,17.17,LOW,11.82,4.32,32.32,35.36,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0269,49.68,MEDIUM,29.19,33.24,43.35,39.87,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0270,16.97,LOW,6.36,12.55,19.99,19.17,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0271,100.0,HIGH,70.2,71.44,60.54,63.55,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0272,10.2,LOW,8.67,4.19,20.23,14.8,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0273,44.81,MEDIUM,23.16,29.22,46.16,47.03,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0274,12.78,LOW,1.86,9.82,26.1,25.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0275,39.76,MEDIUM,24.09,25.86,38.25,35.45,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0276,47.05,MEDIUM,34.83,22.48,54.05,55.69,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0277,15.31,LOW,12.69,6.62,20.8,23.53,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0278,54.54,MEDIUM,30.21,36.75,50.57,48.81,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0279,10.23,LOW,3.78,8.8,20.54,12.96,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0280,16.5,LOW,12.69,3.86,32.52,32.22,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0281,88.76,HIGH,43.02,70.26,62.76,66.78,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0282,19.48,LOW,9.54,10.0,31.49,31.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0283,19.69,LOW,15.45,4.47,37.66,30.94,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0284,19.02,LOW,8.43,11.25,32.46,23.26,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0285,17.64,LOW,16.17,7.4,26.55,24.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0286,99.88,HIGH,70.17,65.66,58.73,63.85,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0287,18.46,LOW,5.91,10.3,29.66,36.65,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0288,18.39,LOW,16.23,7.12,24.15,24.11,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0289,100.0,CRITICAL,77.07,98.79,68.85,72.39,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0290,11.52,LOW,2.58,5.75,32.85,23.05,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0291,13.84,LOW,5.25,7.35,23.46,23.03,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0292,48.08,MEDIUM,35.85,26.12,41.24,40.29,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0293,52.68,MEDIUM,36.27,35.93,36.41,32.78,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0294,49.43,MEDIUM,29.01,30.11,49.96,57.14,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0295,19.13,LOW,12.36,9.53,30.73,22.22,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0296,14.6,LOW,4.35,13.3,17.05,17.55,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0297,91.32,HIGH,59.01,62.84,65.64,61.23,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0298,47.61,MEDIUM,26.91,33.18,46.2,39.47,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0299,85.14,HIGH,56.61,58.56,59.2,59.63,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0300,22.08,LOW,16.53,7.3,33.26,32.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0301,12.76,LOW,5.16,5.58,28.48,30.72,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0302,42.48,MEDIUM,37.62,18.64,37.81,37.96,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0303,51.88,MEDIUM,41.49,26.88,49.35,51.49,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0304,40.87,MEDIUM,32.94,19.29,47.57,40.17,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0305,11.44,LOW,8.76,6.54,16.74,12.25,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0306,45.16,MEDIUM,27.75,30.55,39.48,37.86,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0307,19.43,LOW,12.12,9.86,26.91,28.25,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0308,48.83,MEDIUM,27.48,29.57,55.61,52.76,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0309,10.89,LOW,6.75,7.63,14.69,11.21,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0310,16.26,LOW,13.62,9.66,16.98,16.92,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0311,79.05,HIGH,52.5,55.26,55.24,54.09,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0312,45.91,MEDIUM,38.1,24.87,34.82,37.15,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0313,13.18,LOW,3.36,9.84,26.64,22.65,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0314,16.14,LOW,8.16,11.28,25.13,16.54,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0315,76.24,HIGH,58.29,45.72,54.47,59.73,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0316,47.15,MEDIUM,32.49,27.33,43.42,47.98,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0317,17.64,LOW,14.73,8.1,23.08,23.07,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0318,16.29,LOW,17.4,8.25,16.67,5.93,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0319,47.82,MEDIUM,38.46,28.66,33.07,36.42,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0320,16.97,LOW,5.43,11.46,31.6,25.48,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0321,17.55,LOW,17.94,7.98,17.59,9.82,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0322,14.23,LOW,9.63,6.72,21.32,24.27,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0323,18.34,LOW,7.5,10.83,33.4,32.11,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0324,13.36,LOW,16.65,3.31,14.48,15.9,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0325,14.81,LOW,9.0,5.42,26.65,26.62,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0326,15.29,LOW,14.16,9.84,10.59,5.3,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0327,52.12,MEDIUM,32.01,31.71,47.5,49.21,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0328,19.44,LOW,11.31,8.78,38.37,32.84,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0329,19.29,LOW,17.55,5.64,32.04,27.45,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0330,35.51,MEDIUM,19.71,23.28,34.58,34.13,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0331,15.14,LOW,4.02,7.35,37.96,29.74,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0332,13.6,LOW,9.36,8.41,23.76,12.76,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0333,50.82,MEDIUM,38.79,31.67,37.09,31.76,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0334,11.65,LOW,13.08,4.58,19.98,11.62,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0335,46.56,MEDIUM,24.0,29.29,55.67,48.84,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0336,20.13,LOW,16.92,9.2,26.04,23.13,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0337,5.77,LOW,2.34,4.8,12.68,7.27,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0338,16.0,LOW,17.1,5.83,20.58,19.82,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0339,12.51,LOW,6.63,5.64,26.01,27.59,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0340,15.11,LOW,11.91,2.92,32.01,28.22,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0341,40.24,MEDIUM,28.71,22.99,33.57,38.9,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0342,12.64,LOW,5.67,6.03,28.95,25.43,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0343,45.05,MEDIUM,19.59,32.95,41.76,46.4,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0344,100.0,CRITICAL,78.54,89.76,66.99,67.08,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0345,39.57,MEDIUM,23.37,20.64,52.3,55.18,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0346,11.61,LOW,8.97,7.37,18.39,9.85,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0347,55.43,MEDIUM,31.32,35.7,55.74,58.88,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0348,14.96,LOW,2.19,8.03,34.44,30.08,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0349,54.69,MEDIUM,32.97,35.3,45.62,48.14,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0350,85.27,HIGH,48.45,65.16,56.44,56.16,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0351,11.21,LOW,8.73,6.0,22.21,18.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0352,14.74,LOW,2.22,8.43,31.67,29.42,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0353,12.1,LOW,2.43,7.29,27.14,19.39,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0354,10.27,LOW,2.64,10.3,11.5,6.35,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0355,40.3,MEDIUM,26.16,24.95,35.88,34.69,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0356,18.31,LOW,17.79,8.45,16.41,13.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0357,40.66,MEDIUM,24.66,26.98,41.01,42.23,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0358,18.1,LOW,12.54,9.16,21.71,28.44,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0359,8.55,LOW,3.6,4.68,15.99,15.41,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0360,15.14,LOW,13.83,4.11,25.62,21.56,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0361,14.64,LOW,7.2,8.29,24.03,22.24,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0362,92.92,HIGH,68.25,60.78,52.14,58.35,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0363,13.32,LOW,3.12,7.31,26.93,27.73,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0364,16.54,LOW,9.09,4.7,34.67,32.02,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0365,89.53,HIGH,44.13,73.74,52.46,50.74,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0366,16.01,LOW,2.22,9.46,39.22,34.28,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0367,38.14,MEDIUM,21.51,26.19,34.73,33.61,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0368,23.86,LOW,17.28,11.8,31.24,32.77,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0369,48.1,MEDIUM,20.4,33.27,58.56,51.89,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0370,15.37,LOW,12.69,9.29,12.22,13.73,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0371,15.2,LOW,8.58,3.1,37.89,38.12,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0372,79.42,HIGH,54.24,52.65,51.78,54.53,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0373,10.57,LOW,3.18,9.66,11.38,13.91,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0374,89.62,HIGH,64.89,57.33,55.41,59.27,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0375,12.7,LOW,8.94,5.96,23.69,21.07,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0376,100.0,CRITICAL,70.89,100.0,65.54,61.02,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0377,12.38,LOW,10.5,5.98,20.6,19.79,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0378,16.15,LOW,10.29,9.29,25.5,17.92,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0379,41.0,MEDIUM,29.85,20.91,42.74,42.9,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0380,14.92,LOW,7.56,9.81,23.3,15.69,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0381,17.51,LOW,11.7,5.21,38.28,35.85,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0382,14.68,LOW,12.24,6.02,21.02,15.43,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0383,100.0,CRITICAL,79.14,76.75,71.41,71.01,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0384,18.72,LOW,12.09,10.62,28.86,19.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0385,17.0,LOW,11.1,5.1,36.13,35.66,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0386,8.83,LOW,2.79,8.75,13.0,4.12,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0387,12.24,LOW,11.13,6.72,13.11,11.72,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0388,52.37,MEDIUM,34.68,35.76,40.34,33.3,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0389,100.0,CRITICAL,88.92,84.53,61.5,70.78,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0390,18.48,LOW,11.31,6.75,35.77,34.14,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0391,12.39,LOW,16.77,3.57,12.92,8.24,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0392,14.28,LOW,11.7,5.96,21.31,20.16,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0393,38.26,MEDIUM,21.3,25.54,36.25,34.96,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0394,16.6,LOW,15.54,3.39,32.56,27.72,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0395,18.27,LOW,17.25,5.01,29.43,31.07,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0396,11.86,LOW,3.3,8.93,22.13,18.43,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0397,85.41,HIGH,48.57,65.86,51.53,53.59,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0398,15.98,LOW,10.5,6.71,27.33,23.83,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0399,40.2,MEDIUM,25.68,21.8,48.51,45.48,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0400,39.92,MEDIUM,33.81,17.58,45.42,45.15,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0401,16.36,LOW,16.74,6.03,18.87,20.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0402,19.21,LOW,14.22,11.55,23.96,20.13,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0403,100.0,HIGH,71.19,70.39,58.46,57.91,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0404,38.81,MEDIUM,32.79,17.62,35.27,35.45,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0405,12.36,LOW,2.34,7.0,25.24,24.51,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0406,42.17,MEDIUM,22.41,30.54,40.2,38.9,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0407,45.11,MEDIUM,33.93,23.7,44.23,41.35,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0408,13.14,LOW,3.48,6.25,28.84,24.6,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0409,48.34,MEDIUM,33.87,29.18,43.94,38.07,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0410,18.56,LOW,15.57,7.98,27.88,24.69,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0411,42.06,MEDIUM,21.15,29.13,45.61,36.78,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0412,52.72,MEDIUM,41.07,27.09,52.03,52.01,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0413,91.49,HIGH,50.55,69.06,58.23,62.18,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0414,9.17,LOW,4.17,7.95,13.85,12.87,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0415,11.52,LOW,0.93,9.5,28.06,18.03,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0416,19.03,LOW,14.46,9.35,24.41,21.52,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
